onset	duration	stimulus	Var4
4	2	112	animal
8	2	121	animal
12	2	213	tool
16	2	210	tool
20	2	104	animal
24	2	203	tool
28	2	217	tool
36	2	109	animal
40	2	126	animal
44	2	201	tool
48	2	222	tool
60	2	114	animal
76	2	112	animal
80	2	201	tool
88	2	210	tool
92	2	104	animal
96	2	109	animal
104	2	217	tool
108	2	203	tool
112	2	114	animal
116	2	222	tool
124	2	121	animal
128	2	213	tool
132	2	126	animal
148	2	109	animal
152	2	222	tool
160	2	121	animal
164	2	201	tool
168	2	203	tool
172	2	112	animal
176	2	217	tool
180	2	213	tool
184	2	104	animal
188	2	126	animal
200	2	210	tool
208	2	114	animal
220	2	222	tool
232	2	112	animal
236	2	121	animal
240	2	201	tool
244	2	213	tool
252	2	203	tool
256	2	126	animal
260	2	217	tool
264	2	114	animal
268	2	104	animal
276	2	109	animal
280	2	210	tool
