onset	duration	stimulus	Var4
0	2	103	animal
8	2	220	tool
16	2	207	tool
24	2	119	animal
32	2	120	animal
40	2	221	tool
48	2	229	tool
56	2	101	animal
64	2	202	tool
72	2	116	animal
80	2	214	tool
88	2	128	animal
96	2	229	tool
104	2	120	animal
112	2	202	tool
120	2	101	animal
128	2	116	animal
136	2	207	tool
144	2	220	tool
152	2	221	tool
160	2	214	tool
168	2	119	animal
176	2	128	animal
184	2	103	animal
192	2	116	animal
200	2	128	animal
208	2	103	animal
216	2	119	animal
224	2	229	tool
232	2	220	tool
240	2	221	tool
248	2	202	tool
256	2	207	tool
264	2	120	animal
272	2	214	tool
280	2	101	animal
