onset	duration	stimulus	Var4
0	2	129	animal
6	2	208	tool
12	2	113	animal
18	2	228	tool
24	2	111	animal
30	2	108	animal
36	2	216	tool
42	2	210	tool
48	2	219	tool
54	2	118	animal
60	2	109	animal
66	2	225	tool
72	2	216	tool
78	2	113	animal
84	2	109	animal
90	2	210	tool
96	2	225	tool
102	2	208	tool
108	2	219	tool
114	2	108	animal
120	2	118	animal
126	2	228	tool
132	2	129	animal
138	2	111	animal
144	2	219	tool
150	2	118	animal
156	2	225	tool
162	2	228	tool
168	2	210	tool
174	2	129	animal
180	2	111	animal
186	2	216	tool
192	2	109	animal
198	2	113	animal
204	2	108	animal
210	2	208	tool
216	2	113	animal
222	2	216	tool
228	2	225	tool
234	2	109	animal
240	2	219	tool
246	2	108	animal
252	2	129	animal
258	2	118	animal
264	2	228	tool
270	2	111	animal
276	2	208	tool
282	2	210	tool
