onset	duration	stimulus	Var4
0	2	109	animal
6	2	210	tool
12	2	113	animal
18	2	219	tool
24	2	111	animal
30	2	228	tool
36	2	129	animal
42	2	216	tool
48	2	118	animal
54	2	208	tool
60	2	108	animal
66	2	225	tool
72	2	108	animal
78	2	219	tool
84	2	118	animal
90	2	111	animal
96	2	109	animal
102	2	210	tool
108	2	228	tool
114	2	208	tool
120	2	113	animal
126	2	216	tool
132	2	129	animal
138	2	225	tool
144	2	113	animal
150	2	208	tool
156	2	118	animal
162	2	219	tool
168	2	111	animal
174	2	108	animal
180	2	129	animal
186	2	228	tool
192	2	210	tool
198	2	109	animal
204	2	216	tool
210	2	225	tool
216	2	210	tool
222	2	113	animal
228	2	219	tool
234	2	208	tool
240	2	111	animal
246	2	225	tool
252	2	109	animal
258	2	108	animal
264	2	129	animal
270	2	216	tool
276	2	228	tool
282	2	118	animal
