onset	duration	stimulus	Var4
0	2	213	tool
6	2	110	animal
12	2	224	tool
18	2	111	animal
24	2	226	tool
30	2	217	tool
36	2	119	animal
42	2	105	animal
48	2	123	animal
54	2	204	tool
60	2	117	animal
66	2	230	tool
72	2	213	tool
78	2	217	tool
84	2	224	tool
90	2	204	tool
96	2	117	animal
102	2	123	animal
108	2	230	tool
114	2	105	animal
120	2	119	animal
126	2	111	animal
132	2	110	animal
138	2	226	tool
144	2	110	animal
150	2	224	tool
156	2	217	tool
162	2	117	animal
168	2	204	tool
174	2	226	tool
180	2	230	tool
186	2	111	animal
192	2	123	animal
198	2	119	animal
204	2	105	animal
210	2	213	tool
216	2	119	animal
222	2	213	tool
228	2	217	tool
234	2	224	tool
240	2	117	animal
246	2	204	tool
252	2	230	tool
258	2	111	animal
264	2	123	animal
270	2	110	animal
276	2	105	animal
282	2	226	tool
