onset	duration	stimulus	Var4
0	2	202	tool
8	2	107	animal
16	2	209	tool
24	2	222	tool
32	2	216	tool
40	2	124	animal
48	2	128	animal
56	2	118	animal
64	2	215	tool
72	2	120	animal
80	2	210	tool
88	2	101	animal
96	2	216	tool
104	2	124	animal
112	2	222	tool
120	2	209	tool
128	2	210	tool
136	2	107	animal
144	2	128	animal
152	2	202	tool
160	2	120	animal
168	2	118	animal
176	2	215	tool
184	2	101	animal
192	2	216	tool
200	2	107	animal
208	2	210	tool
216	2	124	animal
224	2	120	animal
232	2	222	tool
240	2	101	animal
248	2	128	animal
256	2	209	tool
264	2	215	tool
272	2	118	animal
280	2	202	tool
