onset	duration	stimulus	Var4
4	2	127	animal
8	2	205	tool
12	2	115	animal
20	2	211	tool
24	2	223	tool
28	2	112	animal
36	2	201	tool
44	2	106	animal
48	2	221	tool
52	2	103	animal
56	2	219	tool
64	2	104	animal
80	2	211	tool
88	2	219	tool
92	2	106	animal
100	2	201	tool
108	2	104	animal
112	2	223	tool
116	2	221	tool
120	2	112	animal
124	2	103	animal
128	2	127	animal
132	2	115	animal
136	2	205	tool
148	2	127	animal
160	2	223	tool
164	2	103	animal
168	2	211	tool
172	2	104	animal
176	2	205	tool
184	2	201	tool
188	2	106	animal
192	2	219	tool
200	2	112	animal
204	2	115	animal
208	2	221	tool
220	2	201	tool
228	2	205	tool
232	2	127	animal
236	2	221	tool
240	2	106	animal
244	2	223	tool
248	2	112	animal
252	2	219	tool
256	2	104	animal
264	2	115	animal
268	2	103	animal
276	2	211	tool
