onset	duration	stimulus	Var4
4	2	127	animal
12	2	205	tool
16	2	201	tool
20	2	111	animal
32	2	126	animal
36	2	207	tool
40	2	114	animal
44	2	223	tool
48	2	215	tool
52	2	130	animal
56	2	110	animal
64	2	224	tool
76	2	126	animal
80	2	215	tool
88	2	130	animal
92	2	224	tool
96	2	114	animal
100	2	127	animal
104	2	111	animal
112	2	223	tool
116	2	205	tool
120	2	207	tool
128	2	201	tool
132	2	110	animal
148	2	207	tool
156	2	224	tool
160	2	111	animal
164	2	110	animal
168	2	126	animal
172	2	223	tool
180	2	114	animal
184	2	205	tool
188	2	215	tool
192	2	127	animal
196	2	130	animal
204	2	201	tool
228	2	207	tool
232	2	114	animal
244	2	201	tool
248	2	126	animal
252	2	111	animal
256	2	205	tool
260	2	110	animal
264	2	127	animal
268	2	215	tool
272	2	223	tool
276	2	130	animal
280	2	224	tool
