onset	duration	stimulus	Var4
4	2	117	animal
16	2	229	tool
20	2	220	tool
24	2	111	animal
28	2	129	animal
32	2	219	tool
40	2	124	animal
44	2	104	animal
48	2	230	tool
52	2	211	tool
56	2	116	animal
64	2	213	tool
76	2	104	animal
88	2	229	tool
92	2	124	animal
100	2	211	tool
104	2	117	animal
108	2	111	animal
112	2	230	tool
116	2	129	animal
120	2	213	tool
124	2	220	tool
132	2	219	tool
136	2	116	animal
152	2	116	animal
160	2	213	tool
164	2	229	tool
168	2	211	tool
172	2	230	tool
176	2	220	tool
180	2	117	animal
184	2	111	animal
188	2	219	tool
196	2	104	animal
200	2	129	animal
204	2	124	animal
220	2	230	tool
224	2	111	animal
228	2	211	tool
232	2	104	animal
236	2	213	tool
240	2	229	tool
252	2	220	tool
256	2	129	animal
268	2	124	animal
272	2	219	tool
276	2	117	animal
280	2	116	animal
