onset	duration	stimulus	Var4
0	2	221	tool
6	2	124	animal
12	2	129	animal
18	2	119	animal
24	2	127	animal
30	2	117	animal
36	2	206	tool
42	2	230	tool
48	2	202	tool
54	2	208	tool
60	2	105	animal
66	2	223	tool
72	2	119	animal
78	2	105	animal
84	2	206	tool
90	2	230	tool
96	2	117	animal
102	2	127	animal
108	2	223	tool
114	2	208	tool
120	2	221	tool
126	2	124	animal
132	2	202	tool
138	2	129	animal
144	2	221	tool
150	2	117	animal
156	2	119	animal
162	2	202	tool
168	2	105	animal
174	2	223	tool
180	2	208	tool
186	2	206	tool
192	2	230	tool
198	2	127	animal
204	2	124	animal
210	2	129	animal
216	2	202	tool
222	2	117	animal
228	2	223	tool
234	2	105	animal
240	2	208	tool
246	2	230	tool
252	2	119	animal
258	2	124	animal
264	2	206	tool
270	2	127	animal
276	2	221	tool
282	2	129	animal
