onset	duration	stimulus	Var4
8	2	126	animal
12	2	214	tool
20	2	121	animal
32	2	106	animal
36	2	219	tool
40	2	120	animal
44	2	201	tool
48	2	224	tool
52	2	123	animal
56	2	125	animal
60	2	226	tool
64	2	211	tool
76	2	211	tool
80	2	214	tool
84	2	125	animal
88	2	123	animal
92	2	106	animal
96	2	226	tool
100	2	219	tool
104	2	120	animal
108	2	126	animal
112	2	224	tool
120	2	121	animal
132	2	201	tool
148	2	224	tool
152	2	219	tool
156	2	226	tool
164	2	211	tool
176	2	121	animal
180	2	214	tool
188	2	126	animal
192	2	125	animal
196	2	123	animal
200	2	201	tool
204	2	120	animal
208	2	106	animal
220	2	201	tool
228	2	224	tool
232	2	214	tool
240	2	120	animal
244	2	219	tool
248	2	121	animal
252	2	211	tool
256	2	226	tool
260	2	123	animal
264	2	106	animal
276	2	125	animal
280	2	126	animal
