onset	duration	stimulus	Var4
0	2	203	tool
6	2	109	animal
12	2	214	tool
18	2	205	tool
24	2	113	animal
30	2	118	animal
36	2	103	animal
42	2	115	animal
48	2	123	animal
54	2	225	tool
60	2	212	tool
66	2	217	tool
72	2	109	animal
78	2	205	tool
84	2	113	animal
90	2	115	animal
96	2	214	tool
102	2	203	tool
108	2	103	animal
114	2	225	tool
120	2	123	animal
126	2	212	tool
132	2	118	animal
138	2	217	tool
144	2	203	tool
150	2	212	tool
156	2	217	tool
162	2	103	animal
168	2	113	animal
174	2	205	tool
180	2	118	animal
186	2	225	tool
192	2	214	tool
198	2	123	animal
204	2	115	animal
210	2	109	animal
216	2	212	tool
222	2	103	animal
228	2	205	tool
234	2	203	tool
240	2	217	tool
246	2	113	animal
252	2	115	animal
258	2	118	animal
264	2	225	tool
270	2	214	tool
276	2	123	animal
282	2	109	animal
