onset	duration	stimulus	Var4
0	2	116	animal
8	2	122	animal
16	2	112	animal
24	2	220	tool
32	2	216	tool
40	2	228	tool
48	2	105	animal
56	2	119	animal
64	2	218	tool
72	2	206	tool
80	2	125	animal
88	2	207	tool
96	2	119	animal
104	2	112	animal
112	2	105	animal
120	2	207	tool
128	2	206	tool
136	2	116	animal
144	2	122	animal
152	2	218	tool
160	2	125	animal
168	2	216	tool
176	2	220	tool
184	2	228	tool
192	2	116	animal
200	2	216	tool
208	2	207	tool
216	2	119	animal
224	2	122	animal
232	2	218	tool
240	2	125	animal
248	2	220	tool
256	2	206	tool
264	2	228	tool
272	2	105	animal
280	2	112	animal
