onset	duration	stimulus	Var4
4	2	112	animal
8	2	212	tool
12	2	109	animal
16	2	208	tool
20	2	204	tool
24	2	227	tool
32	2	128	animal
36	2	222	tool
40	2	126	animal
48	2	104	animal
56	2	229	tool
60	2	115	animal
76	2	227	tool
84	2	115	animal
88	2	204	tool
92	2	126	animal
100	2	109	animal
104	2	222	tool
108	2	104	animal
112	2	208	tool
120	2	112	animal
128	2	229	tool
132	2	212	tool
136	2	128	animal
148	2	222	tool
152	2	208	tool
160	2	204	tool
168	2	112	animal
176	2	126	animal
180	2	212	tool
184	2	109	animal
188	2	227	tool
192	2	115	animal
196	2	229	tool
204	2	128	animal
208	2	104	animal
220	2	227	tool
232	2	126	animal
236	2	208	tool
240	2	112	animal
244	2	115	animal
248	2	229	tool
252	2	222	tool
260	2	212	tool
264	2	109	animal
268	2	204	tool
276	2	128	animal
280	2	104	animal
