onset	duration	stimulus	Var4
0	2	208	tool
6	2	205	tool
12	2	122	animal
18	2	214	tool
24	2	210	tool
30	2	225	tool
36	2	129	animal
42	2	101	animal
48	2	117	animal
54	2	202	tool
60	2	105	animal
66	2	106	animal
72	2	122	animal
78	2	210	tool
84	2	202	tool
90	2	225	tool
96	2	208	tool
102	2	117	animal
108	2	105	animal
114	2	214	tool
120	2	101	animal
126	2	106	animal
132	2	129	animal
138	2	205	tool
144	2	210	tool
150	2	129	animal
156	2	225	tool
162	2	205	tool
168	2	208	tool
174	2	106	animal
180	2	117	animal
186	2	202	tool
192	2	105	animal
198	2	122	animal
204	2	214	tool
210	2	101	animal
216	2	225	tool
222	2	106	animal
228	2	117	animal
234	2	208	tool
240	2	210	tool
246	2	105	animal
252	2	122	animal
258	2	129	animal
264	2	202	tool
270	2	205	tool
276	2	101	animal
282	2	214	tool
