onset	duration	stimulus	Var4
0	2	203	tool
6	2	123	animal
12	2	118	animal
18	2	225	tool
24	2	214	tool
30	2	103	animal
36	2	212	tool
42	2	109	animal
48	2	115	animal
54	2	217	tool
60	2	113	animal
66	2	205	tool
72	2	225	tool
78	2	214	tool
84	2	217	tool
90	2	115	animal
96	2	118	animal
102	2	212	tool
108	2	113	animal
114	2	123	animal
120	2	203	tool
126	2	109	animal
132	2	103	animal
138	2	205	tool
144	2	225	tool
150	2	109	animal
156	2	123	animal
162	2	203	tool
168	2	103	animal
174	2	212	tool
180	2	205	tool
186	2	115	animal
192	2	217	tool
198	2	118	animal
204	2	113	animal
210	2	214	tool
216	2	113	animal
222	2	109	animal
228	2	225	tool
234	2	212	tool
240	2	118	animal
246	2	203	tool
252	2	217	tool
258	2	214	tool
264	2	123	animal
270	2	205	tool
276	2	103	animal
282	2	115	animal
