onset	duration	stimulus	Var4
0	2	130	animal
6	2	226	tool
12	2	123	animal
18	2	112	animal
24	2	215	tool
30	2	105	animal
36	2	222	tool
42	2	210	tool
48	2	126	animal
54	2	224	tool
60	2	217	tool
66	2	108	animal
72	2	112	animal
78	2	105	animal
84	2	217	tool
90	2	215	tool
96	2	123	animal
102	2	224	tool
108	2	226	tool
114	2	126	animal
120	2	222	tool
126	2	210	tool
132	2	130	animal
138	2	108	animal
144	2	215	tool
150	2	105	animal
156	2	126	animal
162	2	224	tool
168	2	108	animal
174	2	210	tool
180	2	222	tool
186	2	217	tool
192	2	226	tool
198	2	112	animal
204	2	130	animal
210	2	123	animal
216	2	126	animal
222	2	217	tool
228	2	105	animal
234	2	222	tool
240	2	108	animal
246	2	226	tool
252	2	215	tool
258	2	123	animal
264	2	130	animal
270	2	112	animal
276	2	210	tool
282	2	224	tool
