onset	duration	stimulus	Var4
8	2	128	animal
16	2	224	tool
20	2	218	tool
24	2	226	tool
28	2	117	animal
32	2	119	animal
36	2	204	tool
40	2	108	animal
44	2	214	tool
56	2	115	animal
60	2	126	animal
64	2	205	tool
76	2	226	tool
84	2	214	tool
88	2	218	tool
92	2	205	tool
96	2	115	animal
100	2	204	tool
104	2	117	animal
112	2	126	animal
116	2	224	tool
120	2	108	animal
124	2	128	animal
128	2	119	animal
156	2	218	tool
160	2	126	animal
164	2	205	tool
172	2	226	tool
176	2	108	animal
180	2	224	tool
184	2	204	tool
192	2	117	animal
196	2	128	animal
200	2	115	animal
204	2	119	animal
208	2	214	tool
220	2	214	tool
232	2	226	tool
236	2	117	animal
240	2	108	animal
248	2	119	animal
252	2	126	animal
256	2	205	tool
260	2	204	tool
264	2	115	animal
268	2	128	animal
272	2	218	tool
276	2	224	tool
