onset	duration	stimulus	Var4
0	2	118	animal
6	2	211	tool
12	2	130	animal
18	2	228	tool
24	2	106	animal
30	2	230	tool
36	2	209	tool
42	2	125	animal
48	2	215	tool
54	2	222	tool
60	2	112	animal
66	2	109	animal
72	2	125	animal
78	2	130	animal
84	2	118	animal
90	2	211	tool
96	2	215	tool
102	2	209	tool
108	2	228	tool
114	2	109	animal
120	2	230	tool
126	2	222	tool
132	2	112	animal
138	2	106	animal
144	2	228	tool
150	2	106	animal
156	2	222	tool
162	2	211	tool
168	2	112	animal
174	2	209	tool
180	2	215	tool
186	2	125	animal
192	2	130	animal
198	2	230	tool
204	2	118	animal
210	2	109	animal
216	2	112	animal
222	2	106	animal
228	2	230	tool
234	2	222	tool
240	2	130	animal
246	2	118	animal
252	2	109	animal
258	2	228	tool
264	2	215	tool
270	2	211	tool
276	2	209	tool
282	2	125	animal
