onset	duration	stimulus	Var4
0	2	227	tool
8	2	221	tool
16	2	122	animal
24	2	217	tool
32	2	114	animal
40	2	120	animal
48	2	101	animal
56	2	107	animal
64	2	103	animal
72	2	213	tool
80	2	229	tool
88	2	202	tool
96	2	217	tool
104	2	122	animal
112	2	101	animal
120	2	221	tool
128	2	202	tool
136	2	107	animal
144	2	213	tool
152	2	103	animal
160	2	114	animal
168	2	227	tool
176	2	229	tool
184	2	120	animal
192	2	122	animal
200	2	217	tool
208	2	103	animal
216	2	202	tool
224	2	229	tool
232	2	101	animal
240	2	221	tool
248	2	114	animal
256	2	107	animal
264	2	213	tool
272	2	120	animal
280	2	227	tool
