onset	duration	stimulus	Var4
0	2	105	animal
8	2	222	tool
16	2	118	animal
24	2	126	animal
32	2	108	animal
40	2	225	tool
48	2	224	tool
56	2	227	tool
64	2	112	animal
72	2	103	animal
80	2	204	tool
88	2	217	tool
96	2	222	tool
104	2	224	tool
112	2	217	tool
120	2	118	animal
128	2	204	tool
136	2	108	animal
144	2	112	animal
152	2	103	animal
160	2	105	animal
168	2	225	tool
176	2	126	animal
184	2	227	tool
192	2	224	tool
200	2	225	tool
208	2	118	animal
216	2	126	animal
224	2	105	animal
232	2	204	tool
240	2	103	animal
248	2	217	tool
256	2	108	animal
264	2	112	animal
272	2	227	tool
280	2	222	tool
