onset	duration	stimulus	Var4
4	2	130	animal
8	2	229	tool
12	2	112	animal
16	2	213	tool
20	2	204	tool
24	2	220	tool
28	2	215	tool
44	2	121	animal
48	2	126	animal
52	2	228	tool
56	2	124	animal
64	2	106	animal
76	2	213	tool
80	2	112	animal
84	2	229	tool
92	2	126	animal
96	2	215	tool
100	2	124	animal
104	2	228	tool
108	2	220	tool
112	2	106	animal
116	2	130	animal
124	2	121	animal
128	2	204	tool
148	2	121	animal
160	2	229	tool
164	2	126	animal
168	2	112	animal
172	2	220	tool
176	2	228	tool
180	2	130	animal
184	2	124	animal
188	2	215	tool
192	2	213	tool
196	2	106	animal
204	2	204	tool
224	2	228	tool
228	2	121	animal
232	2	220	tool
236	2	112	animal
240	2	130	animal
244	2	204	tool
248	2	229	tool
252	2	213	tool
256	2	106	animal
264	2	124	animal
268	2	215	tool
276	2	126	animal
