onset	duration	stimulus	Var4
0	2	128	animal
8	2	113	animal
16	2	111	animal
24	2	105	animal
32	2	209	tool
40	2	116	animal
48	2	207	tool
56	2	218	tool
64	2	118	animal
72	2	203	tool
80	2	206	tool
88	2	224	tool
96	2	206	tool
104	2	111	animal
112	2	218	tool
120	2	118	animal
128	2	128	animal
136	2	224	tool
144	2	203	tool
152	2	209	tool
160	2	116	animal
168	2	105	animal
176	2	207	tool
184	2	113	animal
192	2	118	animal
200	2	224	tool
208	2	218	tool
216	2	209	tool
224	2	105	animal
232	2	207	tool
240	2	116	animal
248	2	206	tool
256	2	203	tool
264	2	113	animal
272	2	111	animal
280	2	128	animal
