onset	duration	stimulus	Var4
4	2	121	animal
12	2	106	animal
16	2	112	animal
20	2	130	animal
32	2	204	tool
36	2	213	tool
40	2	229	tool
48	2	124	animal
52	2	126	animal
56	2	228	tool
60	2	215	tool
64	2	220	tool
76	2	130	animal
80	2	213	tool
84	2	229	tool
92	2	228	tool
96	2	204	tool
100	2	106	animal
104	2	126	animal
116	2	215	tool
120	2	121	animal
124	2	112	animal
132	2	220	tool
136	2	124	animal
148	2	204	tool
152	2	121	animal
156	2	228	tool
160	2	229	tool
164	2	220	tool
168	2	213	tool
172	2	112	animal
176	2	126	animal
184	2	124	animal
192	2	130	animal
196	2	106	animal
204	2	215	tool
224	2	220	tool
228	2	130	animal
232	2	213	tool
240	2	204	tool
244	2	229	tool
248	2	215	tool
252	2	228	tool
256	2	121	animal
264	2	106	animal
272	2	112	animal
276	2	126	animal
280	2	124	animal
