onset	duration	stimulus	Var4
0	2	126	animal
8	2	120	animal
16	2	227	tool
24	2	101	animal
32	2	223	tool
40	2	114	animal
48	2	216	tool
56	2	224	tool
64	2	215	tool
72	2	115	animal
80	2	225	tool
88	2	130	animal
96	2	101	animal
104	2	114	animal
112	2	227	tool
120	2	126	animal
128	2	224	tool
136	2	130	animal
144	2	115	animal
152	2	120	animal
160	2	215	tool
168	2	225	tool
176	2	216	tool
184	2	223	tool
192	2	120	animal
200	2	101	animal
208	2	115	animal
216	2	223	tool
224	2	130	animal
232	2	114	animal
240	2	126	animal
248	2	225	tool
256	2	224	tool
264	2	227	tool
272	2	216	tool
280	2	215	tool
