onset	duration	stimulus	Var4
0	2	209	tool
10	2	111	animal
20	2	108	animal
30	2	119	animal
40	2	221	tool
50	2	125	animal
60	2	201	tool
70	2	110	animal
80	2	106	animal
90	2	219	tool
100	2	206	tool
110	2	217	tool
120	2	125	animal
130	2	219	tool
140	2	209	tool
150	2	217	tool
160	2	111	animal
170	2	119	animal
180	2	110	animal
190	2	108	animal
200	2	201	tool
210	2	206	tool
220	2	106	animal
230	2	221	tool
