onset	duration	stimulus	Var4
0	2	208	tool
6	2	122	animal
12	2	202	tool
18	2	105	animal
24	2	225	tool
30	2	205	tool
36	2	117	animal
42	2	214	tool
48	2	101	animal
54	2	210	tool
60	2	106	animal
66	2	129	animal
72	2	122	animal
78	2	202	tool
84	2	205	tool
90	2	129	animal
96	2	106	animal
102	2	117	animal
108	2	210	tool
114	2	225	tool
120	2	105	animal
126	2	208	tool
132	2	214	tool
138	2	101	animal
144	2	129	animal
150	2	205	tool
156	2	117	animal
162	2	208	tool
168	2	214	tool
174	2	101	animal
180	2	225	tool
186	2	105	animal
192	2	106	animal
198	2	202	tool
204	2	122	animal
210	2	210	tool
216	2	105	animal
222	2	117	animal
228	2	202	tool
234	2	205	tool
240	2	122	animal
246	2	225	tool
252	2	106	animal
258	2	214	tool
264	2	129	animal
270	2	101	animal
276	2	208	tool
282	2	210	tool
