onset	duration	stimulus	Var4
0	2	117	animal
6	2	229	tool
12	2	128	animal
18	2	215	tool
24	2	130	animal
30	2	218	tool
36	2	108	animal
42	2	201	tool
48	2	109	animal
54	2	119	animal
60	2	211	tool
66	2	225	tool
72	2	201	tool
78	2	218	tool
84	2	130	animal
90	2	119	animal
96	2	128	animal
102	2	108	animal
108	2	215	tool
114	2	225	tool
120	2	117	animal
126	2	109	animal
132	2	229	tool
138	2	211	tool
144	2	229	tool
150	2	225	tool
156	2	218	tool
162	2	109	animal
168	2	119	animal
174	2	108	animal
180	2	201	tool
186	2	128	animal
192	2	211	tool
198	2	117	animal
204	2	215	tool
210	2	130	animal
216	2	108	animal
222	2	229	tool
228	2	218	tool
234	2	119	animal
240	2	215	tool
246	2	201	tool
252	2	130	animal
258	2	211	tool
264	2	109	animal
270	2	128	animal
276	2	225	tool
282	2	117	animal
