onset	duration	stimulus	Var4
0	2	203	tool
8	2	205	tool
16	2	204	tool
24	2	208	tool
32	2	106	animal
40	2	118	animal
48	2	127	animal
56	2	228	tool
64	2	213	tool
72	2	113	animal
80	2	116	animal
88	2	125	animal
96	2	204	tool
104	2	125	animal
112	2	127	animal
120	2	208	tool
128	2	118	animal
136	2	106	animal
144	2	213	tool
152	2	116	animal
160	2	205	tool
168	2	113	animal
176	2	228	tool
184	2	203	tool
192	2	113	animal
200	2	118	animal
208	2	205	tool
216	2	213	tool
224	2	228	tool
232	2	208	tool
240	2	116	animal
248	2	203	tool
256	2	106	animal
264	2	127	animal
272	2	204	tool
280	2	125	animal
