onset	duration	stimulus	Var4
4	2	110	animal
8	2	215	tool
12	2	130	animal
20	2	226	tool
24	2	210	tool
32	2	222	tool
36	2	107	animal
44	2	209	tool
52	2	205	tool
56	2	116	animal
60	2	129	animal
64	2	104	animal
80	2	226	tool
84	2	104	animal
88	2	205	tool
92	2	107	animal
96	2	209	tool
100	2	130	animal
108	2	210	tool
112	2	215	tool
116	2	222	tool
120	2	110	animal
124	2	129	animal
132	2	116	animal
148	2	210	tool
152	2	209	tool
156	2	215	tool
164	2	130	animal
168	2	116	animal
172	2	129	animal
180	2	205	tool
192	2	110	animal
196	2	104	animal
200	2	222	tool
204	2	107	animal
208	2	226	tool
220	2	116	animal
232	2	110	animal
240	2	104	animal
244	2	210	tool
248	2	129	animal
252	2	205	tool
256	2	226	tool
260	2	222	tool
264	2	215	tool
268	2	130	animal
272	2	209	tool
276	2	107	animal
