onset	duration	stimulus	Var4
0	2	119	animal
10	2	202	tool
20	2	230	tool
30	2	109	animal
40	2	113	animal
50	2	204	tool
60	2	125	animal
70	2	224	tool
80	2	121	animal
90	2	213	tool
100	2	102	animal
110	2	201	tool
120	2	119	animal
130	2	224	tool
140	2	201	tool
150	2	113	animal
160	2	202	tool
170	2	125	animal
180	2	213	tool
190	2	230	tool
200	2	109	animal
210	2	121	animal
220	2	102	animal
230	2	204	tool
