onset	duration	stimulus	Var4
4	2	201	tool
8	2	217	tool
12	2	216	tool
16	2	110	animal
20	2	101	animal
32	2	109	animal
44	2	210	tool
48	2	209	tool
52	2	123	animal
56	2	213	tool
60	2	107	animal
64	2	111	animal
88	2	107	animal
92	2	216	tool
100	2	111	animal
104	2	209	tool
108	2	213	tool
112	2	109	animal
116	2	217	tool
120	2	101	animal
124	2	210	tool
128	2	110	animal
132	2	123	animal
136	2	201	tool
156	2	109	animal
160	2	111	animal
164	2	216	tool
168	2	209	tool
172	2	110	animal
180	2	123	animal
184	2	210	tool
188	2	107	animal
192	2	101	animal
196	2	217	tool
200	2	213	tool
208	2	201	tool
220	2	101	animal
224	2	209	tool
236	2	110	animal
240	2	123	animal
244	2	111	animal
256	2	216	tool
260	2	109	animal
264	2	213	tool
268	2	107	animal
272	2	210	tool
276	2	217	tool
280	2	201	tool
