onset	duration	stimulus	Var4
4	2	209	tool
12	2	203	tool
16	2	121	animal
20	2	229	tool
24	2	130	animal
32	2	104	animal
36	2	221	tool
40	2	218	tool
44	2	124	animal
48	2	215	tool
52	2	118	animal
60	2	128	animal
76	2	118	animal
84	2	221	tool
92	2	203	tool
96	2	124	animal
100	2	229	tool
104	2	215	tool
108	2	128	animal
112	2	209	tool
116	2	104	animal
120	2	121	animal
124	2	130	animal
128	2	218	tool
152	2	215	tool
160	2	218	tool
168	2	203	tool
172	2	104	animal
176	2	229	tool
180	2	130	animal
184	2	221	tool
188	2	209	tool
196	2	124	animal
200	2	118	animal
204	2	121	animal
208	2	128	animal
220	2	215	tool
224	2	203	tool
228	2	221	tool
232	2	130	animal
236	2	121	animal
240	2	128	animal
244	2	229	tool
256	2	124	animal
260	2	104	animal
268	2	209	tool
272	2	118	animal
276	2	218	tool
