onset	duration	stimulus	Var4
0	2	219	tool
6	2	227	tool
12	2	228	tool
18	2	223	tool
24	2	125	animal
30	2	129	animal
36	2	217	tool
42	2	108	animal
48	2	114	animal
54	2	107	animal
60	2	106	animal
66	2	220	tool
72	2	129	animal
78	2	108	animal
84	2	223	tool
90	2	227	tool
96	2	220	tool
102	2	217	tool
108	2	107	animal
114	2	125	animal
120	2	114	animal
126	2	219	tool
132	2	228	tool
138	2	106	animal
144	2	219	tool
150	2	220	tool
156	2	227	tool
162	2	223	tool
168	2	228	tool
174	2	125	animal
180	2	107	animal
186	2	217	tool
192	2	108	animal
198	2	129	animal
204	2	106	animal
210	2	114	animal
216	2	129	animal
222	2	219	tool
228	2	106	animal
234	2	220	tool
240	2	125	animal
246	2	217	tool
252	2	227	tool
258	2	107	animal
264	2	223	tool
270	2	114	animal
276	2	108	animal
282	2	228	tool
