onset	duration	stimulus	Var4
0	2	214	tool
8	2	112	animal
16	2	208	tool
24	2	122	animal
32	2	204	tool
40	2	224	tool
48	2	210	tool
56	2	113	animal
64	2	120	animal
72	2	110	animal
80	2	116	animal
88	2	230	tool
96	2	210	tool
104	2	208	tool
112	2	116	animal
120	2	112	animal
128	2	230	tool
136	2	214	tool
144	2	113	animal
152	2	120	animal
160	2	204	tool
168	2	110	animal
176	2	122	animal
184	2	224	tool
192	2	110	animal
200	2	214	tool
208	2	116	animal
216	2	122	animal
224	2	224	tool
232	2	210	tool
240	2	120	animal
248	2	113	animal
256	2	208	tool
264	2	112	animal
272	2	230	tool
280	2	204	tool
