onset	duration	stimulus	Var4
0	2	102	animal
6	2	114	animal
12	2	213	tool
18	2	124	animal
24	2	221	tool
30	2	115	animal
36	2	226	tool
42	2	228	tool
48	2	112	animal
54	2	125	animal
60	2	210	tool
66	2	204	tool
72	2	112	animal
78	2	228	tool
84	2	124	animal
90	2	213	tool
96	2	114	animal
102	2	221	tool
108	2	204	tool
114	2	115	animal
120	2	102	animal
126	2	210	tool
132	2	226	tool
138	2	125	animal
144	2	213	tool
150	2	221	tool
156	2	226	tool
162	2	115	animal
168	2	210	tool
174	2	112	animal
180	2	102	animal
186	2	114	animal
192	2	228	tool
198	2	124	animal
204	2	125	animal
210	2	204	tool
216	2	210	tool
222	2	204	tool
228	2	114	animal
234	2	228	tool
240	2	124	animal
246	2	213	tool
252	2	226	tool
258	2	112	animal
264	2	125	animal
270	2	102	animal
276	2	221	tool
282	2	115	animal
