onset	duration	stimulus	Var4
0	2	101	animal
8	2	126	animal
16	2	208	tool
24	2	219	tool
32	2	222	tool
40	2	123	animal
48	2	229	tool
56	2	215	tool
64	2	121	animal
72	2	108	animal
80	2	104	animal
88	2	218	tool
96	2	229	tool
104	2	222	tool
112	2	218	tool
120	2	126	animal
128	2	215	tool
136	2	108	animal
144	2	219	tool
152	2	104	animal
160	2	208	tool
168	2	121	animal
176	2	123	animal
184	2	101	animal
192	2	219	tool
200	2	101	animal
208	2	126	animal
216	2	229	tool
224	2	108	animal
232	2	123	animal
240	2	104	animal
248	2	222	tool
256	2	121	animal
264	2	218	tool
272	2	208	tool
280	2	215	tool
