onset	duration	stimulus	Var4
0	2	205	tool
8	2	104	animal
16	2	206	tool
24	2	222	tool
32	2	110	animal
40	2	217	tool
48	2	118	animal
56	2	202	tool
64	2	129	animal
72	2	130	animal
80	2	225	tool
88	2	113	animal
96	2	129	animal
104	2	118	animal
112	2	205	tool
120	2	104	animal
128	2	225	tool
136	2	217	tool
144	2	130	animal
152	2	206	tool
160	2	222	tool
168	2	202	tool
176	2	110	animal
184	2	113	animal
192	2	202	tool
200	2	110	animal
208	2	225	tool
216	2	129	animal
224	2	222	tool
232	2	113	animal
240	2	206	tool
248	2	130	animal
256	2	217	tool
264	2	205	tool
272	2	118	animal
280	2	104	animal
