onset	duration	stimulus	Var4
0	2	201	tool
12	2	103	animal
24	2	212	tool
36	2	105	animal
48	2	124	animal
60	2	224	tool
72	2	205	tool
84	2	130	animal
96	2	123	animal
108	2	204	tool
120	2	220	tool
132	2	106	animal
144	2	123	animal
156	2	205	tool
168	2	124	animal
180	2	106	animal
192	2	220	tool
204	2	103	animal
216	2	201	tool
228	2	105	animal
240	2	204	tool
252	2	130	animal
264	2	212	tool
276	2	224	tool
