onset	duration	stimulus	Var4
0	2	109	animal
8	2	122	animal
16	2	110	animal
24	2	218	tool
32	2	114	animal
40	2	210	tool
48	2	219	tool
56	2	202	tool
64	2	121	animal
72	2	113	animal
80	2	207	tool
88	2	206	tool
96	2	114	animal
104	2	113	animal
112	2	206	tool
120	2	122	animal
128	2	121	animal
136	2	207	tool
144	2	110	animal
152	2	109	animal
160	2	210	tool
168	2	202	tool
176	2	219	tool
184	2	218	tool
192	2	114	animal
200	2	110	animal
208	2	122	animal
216	2	219	tool
224	2	202	tool
232	2	109	animal
240	2	210	tool
248	2	113	animal
256	2	207	tool
264	2	206	tool
272	2	121	animal
280	2	218	tool
