onset	duration	stimulus	Var4
0	2	108	animal
6	2	115	animal
12	2	206	tool
18	2	116	animal
24	2	226	tool
30	2	228	tool
36	2	207	tool
42	2	221	tool
48	2	105	animal
54	2	218	tool
60	2	122	animal
66	2	117	animal
72	2	228	tool
78	2	221	tool
84	2	207	tool
90	2	117	animal
96	2	218	tool
102	2	108	animal
108	2	206	tool
114	2	105	animal
120	2	122	animal
126	2	116	animal
132	2	226	tool
138	2	115	animal
144	2	116	animal
150	2	218	tool
156	2	207	tool
162	2	206	tool
168	2	122	animal
174	2	226	tool
180	2	117	animal
186	2	115	animal
192	2	221	tool
198	2	228	tool
204	2	105	animal
210	2	108	animal
216	2	207	tool
222	2	108	animal
228	2	221	tool
234	2	105	animal
240	2	206	tool
246	2	122	animal
252	2	115	animal
258	2	117	animal
264	2	218	tool
270	2	116	animal
276	2	228	tool
282	2	226	tool
