onset	duration	stimulus	Var4
4	2	126	animal
8	2	115	animal
12	2	113	animal
16	2	128	animal
20	2	222	tool
24	2	206	tool
28	2	124	animal
40	2	225	tool
44	2	230	tool
48	2	220	tool
52	2	107	animal
64	2	214	tool
80	2	126	animal
84	2	115	animal
88	2	128	animal
92	2	113	animal
100	2	230	tool
104	2	214	tool
108	2	225	tool
112	2	222	tool
116	2	220	tool
128	2	206	tool
132	2	107	animal
136	2	124	animal
148	2	225	tool
152	2	126	animal
156	2	214	tool
160	2	230	tool
164	2	220	tool
180	2	115	animal
184	2	222	tool
188	2	113	animal
192	2	124	animal
196	2	206	tool
204	2	128	animal
208	2	107	animal
220	2	113	animal
228	2	124	animal
232	2	222	tool
236	2	206	tool
244	2	115	animal
248	2	225	tool
256	2	126	animal
260	2	220	tool
264	2	128	animal
268	2	230	tool
272	2	214	tool
276	2	107	animal
