onset	duration	stimulus	Var4
4	2	220	tool
12	2	214	tool
24	2	107	animal
28	2	113	animal
32	2	124	animal
36	2	222	tool
40	2	115	animal
48	2	128	animal
52	2	206	tool
56	2	126	animal
60	2	230	tool
64	2	225	tool
80	2	214	tool
84	2	206	tool
92	2	124	animal
96	2	113	animal
104	2	222	tool
108	2	126	animal
112	2	220	tool
116	2	128	animal
120	2	230	tool
124	2	115	animal
128	2	107	animal
136	2	225	tool
148	2	225	tool
152	2	107	animal
156	2	220	tool
160	2	115	animal
168	2	222	tool
176	2	113	animal
184	2	128	animal
188	2	230	tool
196	2	126	animal
200	2	206	tool
204	2	124	animal
208	2	214	tool
220	2	222	tool
228	2	206	tool
232	2	225	tool
236	2	230	tool
240	2	115	animal
244	2	113	animal
248	2	128	animal
256	2	126	animal
264	2	107	animal
268	2	214	tool
272	2	124	animal
280	2	220	tool
