onset	duration	stimulus	Var4
0	2	101	animal
6	2	122	animal
12	2	228	tool
18	2	104	animal
24	2	218	tool
30	2	208	tool
36	2	106	animal
42	2	125	animal
48	2	209	tool
54	2	204	tool
60	2	219	tool
66	2	114	animal
72	2	209	tool
78	2	122	animal
84	2	114	animal
90	2	218	tool
96	2	204	tool
102	2	101	animal
108	2	219	tool
114	2	104	animal
120	2	106	animal
126	2	208	tool
132	2	125	animal
138	2	228	tool
144	2	204	tool
150	2	106	animal
156	2	208	tool
162	2	209	tool
168	2	125	animal
174	2	219	tool
180	2	218	tool
186	2	104	animal
192	2	114	animal
198	2	101	animal
204	2	122	animal
210	2	228	tool
216	2	114	animal
222	2	208	tool
228	2	219	tool
234	2	228	tool
240	2	104	animal
246	2	122	animal
252	2	218	tool
258	2	125	animal
264	2	204	tool
270	2	209	tool
276	2	101	animal
282	2	106	animal
