onset	duration	stimulus	Var4
0	2	111	animal
8	2	127	animal
16	2	108	animal
24	2	217	tool
32	2	201	tool
40	2	202	tool
48	2	223	tool
56	2	105	animal
64	2	117	animal
72	2	116	animal
80	2	210	tool
88	2	216	tool
96	2	105	animal
104	2	117	animal
112	2	116	animal
120	2	127	animal
128	2	223	tool
136	2	111	animal
144	2	202	tool
152	2	210	tool
160	2	108	animal
168	2	201	tool
176	2	217	tool
184	2	216	tool
192	2	210	tool
200	2	105	animal
208	2	216	tool
216	2	217	tool
224	2	201	tool
232	2	108	animal
240	2	223	tool
248	2	202	tool
256	2	127	animal
264	2	116	animal
272	2	117	animal
280	2	111	animal
