onset	duration	stimulus	Var4
0	2	113	animal
6	2	221	tool
12	2	120	animal
18	2	227	tool
24	2	108	animal
30	2	128	animal
36	2	210	tool
42	2	116	animal
48	2	101	animal
54	2	207	tool
60	2	214	tool
66	2	205	tool
72	2	214	tool
78	2	116	animal
84	2	221	tool
90	2	227	tool
96	2	113	animal
102	2	120	animal
108	2	108	animal
114	2	101	animal
120	2	210	tool
126	2	207	tool
132	2	128	animal
138	2	205	tool
144	2	113	animal
150	2	116	animal
156	2	221	tool
162	2	128	animal
168	2	205	tool
174	2	210	tool
180	2	101	animal
186	2	227	tool
192	2	214	tool
198	2	108	animal
204	2	120	animal
210	2	207	tool
216	2	214	tool
222	2	207	tool
228	2	227	tool
234	2	113	animal
240	2	205	tool
246	2	116	animal
252	2	108	animal
258	2	210	tool
264	2	120	animal
270	2	221	tool
276	2	101	animal
282	2	128	animal
