onset	duration	stimulus	Var4
0	2	210	tool
6	2	114	animal
12	2	120	animal
18	2	216	tool
24	2	108	animal
30	2	205	tool
36	2	227	tool
42	2	212	tool
48	2	117	animal
54	2	219	tool
60	2	103	animal
66	2	104	animal
72	2	120	animal
78	2	219	tool
84	2	103	animal
90	2	227	tool
96	2	114	animal
102	2	205	tool
108	2	104	animal
114	2	117	animal
120	2	216	tool
126	2	212	tool
132	2	210	tool
138	2	108	animal
144	2	103	animal
150	2	120	animal
156	2	104	animal
162	2	210	tool
168	2	212	tool
174	2	114	animal
180	2	216	tool
186	2	117	animal
192	2	108	animal
198	2	219	tool
204	2	227	tool
210	2	205	tool
216	2	210	tool
222	2	108	animal
228	2	227	tool
234	2	216	tool
240	2	205	tool
246	2	212	tool
252	2	114	animal
258	2	104	animal
264	2	117	animal
270	2	103	animal
276	2	120	animal
282	2	219	tool
