onset	duration	stimulus	Var4
0	2	110	animal
8	2	129	animal
16	2	130	animal
24	2	127	animal
32	2	211	tool
40	2	113	animal
48	2	229	tool
56	2	219	tool
64	2	225	tool
72	2	122	animal
80	2	212	tool
88	2	230	tool
96	2	129	animal
104	2	127	animal
112	2	225	tool
120	2	229	tool
128	2	230	tool
136	2	212	tool
144	2	211	tool
152	2	110	animal
160	2	130	animal
168	2	113	animal
176	2	122	animal
184	2	219	tool
192	2	229	tool
200	2	211	tool
208	2	113	animal
216	2	122	animal
224	2	110	animal
232	2	127	animal
240	2	219	tool
248	2	230	tool
256	2	130	animal
264	2	129	animal
272	2	225	tool
280	2	212	tool
