onset	duration	stimulus	Var4
0	2	105	animal
8	2	118	animal
16	2	218	tool
24	2	217	tool
32	2	201	tool
40	2	115	animal
48	2	227	tool
56	2	225	tool
64	2	114	animal
72	2	224	tool
80	2	125	animal
88	2	107	animal
96	2	105	animal
104	2	227	tool
112	2	115	animal
120	2	125	animal
128	2	118	animal
136	2	217	tool
144	2	225	tool
152	2	218	tool
160	2	114	animal
168	2	224	tool
176	2	201	tool
184	2	107	animal
192	2	201	tool
200	2	224	tool
208	2	107	animal
216	2	125	animal
224	2	115	animal
232	2	105	animal
240	2	225	tool
248	2	118	animal
256	2	114	animal
264	2	217	tool
272	2	218	tool
280	2	227	tool
