onset	duration	stimulus	Var4
0	2	222	tool
6	2	128	animal
12	2	108	animal
18	2	126	animal
24	2	214	tool
30	2	207	tool
36	2	106	animal
42	2	120	animal
48	2	209	tool
54	2	119	animal
60	2	210	tool
66	2	223	tool
72	2	209	tool
78	2	128	animal
84	2	222	tool
90	2	108	animal
96	2	126	animal
102	2	207	tool
108	2	119	animal
114	2	210	tool
120	2	120	animal
126	2	214	tool
132	2	106	animal
138	2	223	tool
144	2	128	animal
150	2	222	tool
156	2	126	animal
162	2	119	animal
168	2	209	tool
174	2	108	animal
180	2	214	tool
186	2	106	animal
192	2	210	tool
198	2	207	tool
204	2	120	animal
210	2	223	tool
216	2	209	tool
222	2	207	tool
228	2	222	tool
234	2	119	animal
240	2	128	animal
246	2	210	tool
252	2	126	animal
258	2	214	tool
264	2	120	animal
270	2	223	tool
276	2	106	animal
282	2	108	animal
