onset	duration	stimulus	Var4
0	2	112	animal
8	2	218	tool
16	2	104	animal
24	2	115	animal
32	2	208	tool
40	2	214	tool
48	2	108	animal
56	2	227	tool
64	2	101	animal
72	2	119	animal
80	2	203	tool
88	2	226	tool
96	2	101	animal
104	2	208	tool
112	2	108	animal
120	2	203	tool
128	2	227	tool
136	2	115	animal
144	2	119	animal
152	2	218	tool
160	2	112	animal
168	2	104	animal
176	2	226	tool
184	2	214	tool
192	2	108	animal
200	2	218	tool
208	2	101	animal
216	2	112	animal
224	2	104	animal
232	2	119	animal
240	2	115	animal
248	2	227	tool
256	2	226	tool
264	2	208	tool
272	2	214	tool
280	2	203	tool
