onset	duration	stimulus	Var4
0	2	104	animal
8	2	114	animal
16	2	106	animal
24	2	229	tool
32	2	204	tool
40	2	111	animal
48	2	220	tool
56	2	211	tool
64	2	107	animal
72	2	112	animal
80	2	216	tool
88	2	225	tool
96	2	107	animal
104	2	104	animal
112	2	211	tool
120	2	220	tool
128	2	204	tool
136	2	225	tool
144	2	114	animal
152	2	106	animal
160	2	229	tool
168	2	111	animal
176	2	112	animal
184	2	216	tool
192	2	204	tool
200	2	225	tool
208	2	114	animal
216	2	112	animal
224	2	106	animal
232	2	104	animal
240	2	111	animal
248	2	229	tool
256	2	211	tool
264	2	107	animal
272	2	216	tool
280	2	220	tool
