onset	duration	stimulus	Var4
0	2	130	animal
6	2	214	tool
12	2	129	animal
18	2	207	tool
24	2	222	tool
30	2	120	animal
36	2	107	animal
42	2	213	tool
48	2	229	tool
54	2	126	animal
60	2	111	animal
66	2	210	tool
72	2	222	tool
78	2	126	animal
84	2	229	tool
90	2	107	animal
96	2	213	tool
102	2	130	animal
108	2	111	animal
114	2	210	tool
120	2	120	animal
126	2	207	tool
132	2	129	animal
138	2	214	tool
144	2	207	tool
150	2	210	tool
156	2	222	tool
162	2	126	animal
168	2	111	animal
174	2	130	animal
180	2	129	animal
186	2	214	tool
192	2	120	animal
198	2	229	tool
204	2	213	tool
210	2	107	animal
216	2	222	tool
222	2	214	tool
228	2	126	animal
234	2	213	tool
240	2	207	tool
246	2	107	animal
252	2	120	animal
258	2	229	tool
264	2	129	animal
270	2	111	animal
276	2	130	animal
282	2	210	tool
