onset	duration	stimulus	Var4
0	2	107	animal
6	2	207	tool
12	2	129	animal
18	2	229	tool
24	2	222	tool
30	2	130	animal
36	2	126	animal
42	2	120	animal
48	2	213	tool
54	2	210	tool
60	2	111	animal
66	2	214	tool
72	2	222	tool
78	2	210	tool
84	2	120	animal
90	2	214	tool
96	2	130	animal
102	2	111	animal
108	2	229	tool
114	2	213	tool
120	2	207	tool
126	2	129	animal
132	2	126	animal
138	2	107	animal
144	2	222	tool
150	2	120	animal
156	2	111	animal
162	2	214	tool
168	2	130	animal
174	2	126	animal
180	2	207	tool
186	2	129	animal
192	2	210	tool
198	2	107	animal
204	2	213	tool
210	2	229	tool
216	2	214	tool
222	2	126	animal
228	2	130	animal
234	2	120	animal
240	2	207	tool
246	2	129	animal
252	2	210	tool
258	2	229	tool
264	2	107	animal
270	2	111	animal
276	2	213	tool
282	2	222	tool
