onset	duration	stimulus	Var4
0	2	122	animal
8	2	128	animal
16	2	223	tool
24	2	221	tool
32	2	121	animal
40	2	224	tool
48	2	225	tool
56	2	102	animal
64	2	114	animal
72	2	219	tool
80	2	205	tool
88	2	103	animal
96	2	223	tool
104	2	221	tool
112	2	114	animal
120	2	103	animal
128	2	122	animal
136	2	128	animal
144	2	225	tool
152	2	205	tool
160	2	224	tool
168	2	219	tool
176	2	102	animal
184	2	121	animal
192	2	224	tool
200	2	114	animal
208	2	219	tool
216	2	223	tool
224	2	221	tool
232	2	121	animal
240	2	205	tool
248	2	103	animal
256	2	102	animal
264	2	225	tool
272	2	128	animal
280	2	122	animal
