onset	duration	stimulus	Var4
0	2	124	animal
8	2	126	animal
16	2	220	tool
24	2	125	animal
32	2	207	tool
40	2	218	tool
48	2	229	tool
56	2	217	tool
64	2	118	animal
72	2	215	tool
80	2	116	animal
88	2	112	animal
96	2	215	tool
104	2	112	animal
112	2	124	animal
120	2	218	tool
128	2	126	animal
136	2	217	tool
144	2	229	tool
152	2	116	animal
160	2	207	tool
168	2	220	tool
176	2	118	animal
184	2	125	animal
192	2	215	tool
200	2	116	animal
208	2	125	animal
216	2	124	animal
224	2	207	tool
232	2	220	tool
240	2	229	tool
248	2	126	animal
256	2	118	animal
264	2	112	animal
272	2	218	tool
280	2	217	tool
