onset	duration	stimulus	Var4
8	2	218	tool
12	2	109	animal
16	2	108	animal
24	2	209	tool
28	2	118	animal
32	2	106	animal
36	2	115	animal
40	2	210	tool
44	2	205	tool
48	2	111	animal
60	2	208	tool
64	2	223	tool
84	2	210	tool
88	2	208	tool
92	2	109	animal
100	2	115	animal
104	2	205	tool
108	2	209	tool
112	2	223	tool
116	2	218	tool
120	2	118	animal
124	2	111	animal
128	2	106	animal
132	2	108	animal
148	2	109	animal
152	2	111	animal
156	2	118	animal
160	2	208	tool
168	2	205	tool
176	2	218	tool
180	2	115	animal
184	2	209	tool
188	2	106	animal
192	2	210	tool
204	2	108	animal
208	2	223	tool
220	2	108	animal
224	2	208	tool
228	2	111	animal
232	2	118	animal
236	2	209	tool
244	2	210	tool
248	2	205	tool
252	2	218	tool
256	2	109	animal
260	2	106	animal
268	2	223	tool
276	2	115	animal
