onset	duration	stimulus	Var4
4	2	210	tool
8	2	218	tool
12	2	115	animal
16	2	118	animal
24	2	109	animal
28	2	209	tool
32	2	106	animal
40	2	208	tool
44	2	223	tool
52	2	108	animal
56	2	111	animal
64	2	205	tool
76	2	108	animal
84	2	218	tool
88	2	115	animal
92	2	209	tool
96	2	223	tool
100	2	109	animal
104	2	208	tool
112	2	205	tool
120	2	106	animal
124	2	210	tool
132	2	111	animal
136	2	118	animal
156	2	223	tool
160	2	218	tool
164	2	109	animal
168	2	210	tool
172	2	106	animal
176	2	108	animal
184	2	209	tool
188	2	115	animal
196	2	208	tool
200	2	111	animal
204	2	118	animal
208	2	205	tool
224	2	118	animal
228	2	208	tool
232	2	109	animal
240	2	108	animal
244	2	111	animal
248	2	209	tool
252	2	205	tool
260	2	115	animal
264	2	218	tool
268	2	210	tool
272	2	106	animal
280	2	223	tool
