onset	duration	stimulus	Var4
0	2	124	animal
8	2	229	tool
16	2	104	animal
24	2	102	animal
32	2	120	animal
40	2	128	animal
48	2	214	tool
56	2	107	animal
64	2	216	tool
72	2	213	tool
80	2	212	tool
88	2	225	tool
96	2	102	animal
104	2	213	tool
112	2	225	tool
120	2	212	tool
128	2	214	tool
136	2	128	animal
144	2	229	tool
152	2	107	animal
160	2	104	animal
168	2	120	animal
176	2	124	animal
184	2	216	tool
192	2	212	tool
200	2	214	tool
208	2	213	tool
216	2	104	animal
224	2	107	animal
232	2	128	animal
240	2	124	animal
248	2	102	animal
256	2	229	tool
264	2	120	animal
272	2	225	tool
280	2	216	tool
