onset	duration	stimulus	Var4
0	2	210	tool
6	2	214	tool
12	2	128	animal
18	2	227	tool
24	2	207	tool
30	2	205	tool
36	2	113	animal
42	2	101	animal
48	2	221	tool
54	2	108	animal
60	2	116	animal
66	2	120	animal
72	2	221	tool
78	2	128	animal
84	2	101	animal
90	2	205	tool
96	2	120	animal
102	2	113	animal
108	2	108	animal
114	2	214	tool
120	2	227	tool
126	2	210	tool
132	2	116	animal
138	2	207	tool
144	2	210	tool
150	2	113	animal
156	2	227	tool
162	2	205	tool
168	2	116	animal
174	2	128	animal
180	2	214	tool
186	2	120	animal
192	2	207	tool
198	2	108	animal
204	2	221	tool
210	2	101	animal
216	2	128	animal
222	2	214	tool
228	2	210	tool
234	2	108	animal
240	2	120	animal
246	2	205	tool
252	2	116	animal
258	2	227	tool
264	2	101	animal
270	2	221	tool
276	2	113	animal
282	2	207	tool
