onset	duration	stimulus	Var4
0	2	216	tool
6	2	128	animal
12	2	225	tool
18	2	122	animal
24	2	203	tool
30	2	208	tool
36	2	206	tool
42	2	114	animal
48	2	117	animal
54	2	227	tool
60	2	115	animal
66	2	127	animal
72	2	203	tool
78	2	127	animal
84	2	128	animal
90	2	227	tool
96	2	225	tool
102	2	122	animal
108	2	216	tool
114	2	117	animal
120	2	206	tool
126	2	115	animal
132	2	208	tool
138	2	114	animal
144	2	117	animal
150	2	206	tool
156	2	122	animal
162	2	203	tool
168	2	128	animal
174	2	114	animal
180	2	127	animal
186	2	225	tool
192	2	216	tool
198	2	115	animal
204	2	227	tool
210	2	208	tool
216	2	216	tool
222	2	203	tool
228	2	127	animal
234	2	128	animal
240	2	206	tool
246	2	115	animal
252	2	225	tool
258	2	227	tool
264	2	114	animal
270	2	122	animal
276	2	117	animal
282	2	208	tool
