onset	duration	stimulus	Var4
4	2	110	animal
8	2	215	tool
20	2	226	tool
28	2	205	tool
32	2	210	tool
36	2	107	animal
40	2	104	animal
44	2	129	animal
48	2	130	animal
52	2	116	animal
60	2	209	tool
64	2	222	tool
76	2	205	tool
80	2	107	animal
84	2	209	tool
88	2	226	tool
92	2	110	animal
96	2	129	animal
100	2	210	tool
108	2	130	animal
112	2	116	animal
116	2	222	tool
124	2	104	animal
136	2	215	tool
148	2	205	tool
152	2	104	animal
156	2	226	tool
164	2	116	animal
168	2	110	animal
172	2	129	animal
180	2	107	animal
188	2	210	tool
192	2	215	tool
196	2	130	animal
204	2	222	tool
208	2	209	tool
220	2	205	tool
224	2	129	animal
228	2	215	tool
232	2	104	animal
236	2	116	animal
248	2	222	tool
252	2	130	animal
256	2	107	animal
268	2	209	tool
272	2	226	tool
276	2	210	tool
280	2	110	animal
