onset	duration	stimulus	Var4
0	2	119	animal
6	2	120	animal
12	2	208	tool
18	2	230	tool
24	2	105	animal
30	2	225	tool
36	2	216	tool
42	2	218	tool
48	2	128	animal
54	2	114	animal
60	2	104	animal
66	2	215	tool
72	2	230	tool
78	2	114	animal
84	2	128	animal
90	2	104	animal
96	2	218	tool
102	2	216	tool
108	2	105	animal
114	2	215	tool
120	2	119	animal
126	2	208	tool
132	2	120	animal
138	2	225	tool
144	2	105	animal
150	2	215	tool
156	2	218	tool
162	2	119	animal
168	2	230	tool
174	2	104	animal
180	2	208	tool
186	2	225	tool
192	2	114	animal
198	2	120	animal
204	2	128	animal
210	2	216	tool
216	2	218	tool
222	2	104	animal
228	2	120	animal
234	2	114	animal
240	2	105	animal
246	2	225	tool
252	2	216	tool
258	2	128	animal
264	2	215	tool
270	2	230	tool
276	2	208	tool
282	2	119	animal
