onset	duration	stimulus	Var4
0	2	225	tool
8	2	214	tool
16	2	115	animal
24	2	110	animal
32	2	202	tool
40	2	219	tool
48	2	112	animal
56	2	109	animal
64	2	126	animal
72	2	116	animal
80	2	227	tool
88	2	205	tool
96	2	202	tool
104	2	116	animal
112	2	205	tool
120	2	110	animal
128	2	112	animal
136	2	219	tool
144	2	126	animal
152	2	225	tool
160	2	227	tool
168	2	115	animal
176	2	109	animal
184	2	214	tool
192	2	225	tool
200	2	110	animal
208	2	109	animal
216	2	116	animal
224	2	205	tool
232	2	126	animal
240	2	227	tool
248	2	115	animal
256	2	202	tool
264	2	112	animal
272	2	219	tool
280	2	214	tool
